fevGlobal,T,layerCount,neuronCount,mean_RMSE,std_RMSE,var_RMSE,min_RMSE,max_RMSE,successful_runs,failed_runs,missing_runs,all_RMSEs
5,8,4,2,0.6330266154729539,0.0,0.0,0.6330266154729539,0.6330266154729539,1,6,0,[np.float64(0.6330266154729539)]
8,5,3,3,0.6422620722703162,0.05860552520020184,0.0034346075839914933,0.565916170452833,0.7195537784607505,6,1,0,"[np.float64(0.5745109948394622), np.float64(0.6438629164836699), np.float64(0.565916170452833), np.float64(0.7195537784607505), np.float64(0.7071625913546533), np.float64(0.6425659820305283)]"
8,5,4,2,0.6621601466213037,0.04805636024422757,0.002309413759922976,0.5935877282905561,0.7328900309186911,7,0,0,"[np.float64(0.6514071573930218), np.float64(0.6241638458976252), np.float64(0.5935877282905561), np.float64(0.7328900309186911), np.float64(0.7294981792751196), np.float64(0.6605061120837565), np.float64(0.6430679724903559)]"
10,4,4,2,0.680680985894633,0.0935306177268587,0.008747976452367775,0.5667392527079804,0.836991387561084,5,2,0,"[np.float64(0.6236642002621055), np.float64(0.7265149426739766), np.float64(0.5667392527079804), np.float64(0.836991387561084), np.float64(0.6494951462680182)]"
10,4,3,3,0.6880880891779448,0.030253250215263903,0.0009152591485873655,0.6418734974654831,0.7339413668854714,7,0,0,"[np.float64(0.6747201762466317), np.float64(0.6418734974654831), np.float64(0.6933458903421045), np.float64(0.6633541649332472), np.float64(0.6847021141092776), np.float64(0.7339413668854714), np.float64(0.7246794142633989)]"
5,8,3,3,0.6995031868553746,0.037415891167095656,0.0013999489118279467,0.6382849334203562,0.7752916847262805,7,0,0,"[np.float64(0.6382849334203562), np.float64(0.6889541061679757), np.float64(0.7043622931986065), np.float64(0.6890740133230558), np.float64(0.7058994794809162), np.float64(0.6946557976704311), np.float64(0.7752916847262805)]"
10,4,2,4,0.7898853057436295,0.14231476369871038,0.020253491966619776,0.6851904726403768,1.059422777923364,7,0,0,"[np.float64(0.685709591303574), np.float64(0.6948673405724906), np.float64(0.9602601764090517), np.float64(1.059422777923364), np.float64(0.7231295472063475), np.float64(0.6851904726403768), np.float64(0.7206172341502012)]"
5,8,2,4,0.7984401040930378,0.12976782497662628,0.016839688399164315,0.7020741210340361,1.0893121692478374,7,0,0,"[np.float64(0.7120540640589429), np.float64(1.0893121692478374), np.float64(0.7185748313054906), np.float64(0.8147970956782519), np.float64(0.8427720219778131), np.float64(0.7020741210340361), np.float64(0.7094964253488929)]"
8,5,2,4,0.848493333669057,0.17667905202298892,0.03121548742374202,0.6907303898607203,1.0715941942318599,5,2,0,"[np.float64(1.057530171965388), np.float64(0.6907303898607203), np.float64(1.0715941942318599), np.float64(0.7050953270992107), np.float64(0.7175165851881056)]"
