fevGlobal,T,layerCount,neuronCount,mean_RMSE,variance_RMSE,std_RMSE,min_RMSE,max_RMSE,valid_runs
10,4,4,2,0.5904683202383154,0.004512390456534735,0.06717432885064603,0.47293974954230994,0.6311215882221112,5
5,8,4,2,0.6330266154729539,,,0.6330266154729539,0.6330266154729539,1
8,5,3,3,0.6422620722703162,0.004121529100789792,0.06419913629317603,0.565916170452833,0.7195537784607505,6
8,5,4,2,0.6621601466213037,0.002694316053243472,0.051906801608685854,0.5935877282905561,0.7328900309186911,7
10,4,3,3,0.6708643399627938,0.0011840741330469125,0.034410378275266204,0.6080665079953955,0.7150401307339331,7
5,8,3,3,0.6995031868553746,0.001633273730465938,0.04041378144229933,0.6382849334203562,0.7752916847262805,7
10,4,2,4,0.7236902741411494,0.0004092968214735879,0.020231085523856298,0.6947972165747355,0.7439978655979369,7
10,4,3,4,0.7533299508695661,,,0.7533299508695661,0.7533299508695661,1
5,8,2,4,0.7984401040930378,0.019646303132358368,0.140165270778315,0.7020741210340361,1.0893121692478374,7
8,5,2,4,0.8280523171110458,0.03372249837129138,0.18363686550170524,0.6907303898607203,1.0715941942318599,6
