fevGlobal,T,layerCount,neuronCount,mean_RMSE,std_RMSE,var_RMSE,min_RMSE,max_RMSE,successful_runs,failed_runs,fixed_files,status
8,5,3,3,0.6371772232036016,0.05566941258801466,0.003099083497894605,0.565916170452833,0.7195537784607505,7,0,7,✅
8,5,4,2,0.6621601466213037,0.04805636024422757,0.002309413759922976,0.5935877282905561,0.7328900309186911,7,0,7,✅
10,4,3,3,0.6880880891779448,0.030253250215263903,0.0009152591485873655,0.6418734974654831,0.7339413668854714,7,0,7,✅
10,4,4,2,0.6887694915966255,0.08204056398384507,0.006730654138787377,0.5667392527079804,0.836991387561084,7,0,7,✅
5,8,3,3,0.6995031868553746,0.037415891167095656,0.0013999489118279467,0.6382849334203562,0.7752916847262805,7,0,7,✅
5,8,4,2,0.7347479018157541,0.14571019795036586,0.021231461786734802,0.6330266154729539,1.0790160295327276,7,0,7,✅
10,4,2,4,0.7898853057436295,0.14231476369871038,0.020253491966619776,0.6851904726403768,1.059422777923364,7,0,7,✅
5,8,2,4,0.7984401040930378,0.12976782497662628,0.016839688399164315,0.7020741210340361,1.0893121692478374,7,0,7,✅
8,5,2,4,0.8227763666726133,0.1557386039323888,0.024254512754809467,0.6907303898607203,1.0715941942318599,7,0,7,✅
